step,epoch,train_loss
49,0,-4.400941371917725
99,1,-4.550474643707275
149,2,-4.730449199676514
199,3,-4.845531463623047
249,4,-4.916167259216309
299,5,-4.9931721687316895
349,6,-5.065625190734863
399,7,-5.103158473968506
449,8,-5.138920307159424
499,9,-5.1907734870910645
549,10,-5.216693878173828
599,11,-5.247816562652588
649,12,-5.251434803009033
699,13,-5.306642532348633
749,14,-5.33480978012085
799,15,-5.357838153839111
849,16,-5.381441593170166
899,17,-5.411410331726074
949,18,-5.422059535980225
999,19,-5.461371421813965
1049,20,-5.4698486328125
1099,21,-5.494500160217285
1149,22,-5.52206563949585
1199,23,-5.530701160430908
1249,24,-5.550218105316162
1299,25,-5.584329128265381
1349,26,-5.603630542755127
1399,27,-5.60822868347168
1449,28,-5.6276373863220215
1499,29,-5.658632278442383
1549,30,-5.666220664978027
1599,31,-5.691884994506836
1649,32,-5.719992637634277
1699,33,-5.748641490936279
1749,34,-5.758675575256348
1799,35,-5.772690296173096
1849,36,-5.8100056648254395
1899,37,-5.8143630027771
1949,38,-5.843662261962891
1999,39,-5.8560357093811035
2049,40,-5.859304904937744
2099,41,-5.880924224853516
2149,42,-5.883049964904785
2199,43,-5.890435218811035
2249,44,-5.905216693878174
2299,45,-5.911953926086426
2349,46,-5.9108052253723145
2399,47,-5.917263031005859
2449,48,-5.912642002105713
2499,49,-5.921520233154297
