step,epoch,train_loss
49,0,-3.8440945148468018
99,1,-4.319896697998047
149,2,-4.4658589363098145
199,3,-4.5204315185546875
249,4,-4.604285717010498
299,5,-4.652276515960693
349,6,-4.720983028411865
399,7,-4.793428421020508
449,8,-4.821357250213623
499,9,-4.853514194488525
549,10,-4.9249773025512695
599,11,-4.948279857635498
649,12,-5.0229878425598145
699,13,-5.064098358154297
749,14,-5.111238479614258
799,15,-5.037118911743164
849,16,-5.1121907234191895
899,17,-5.19569206237793
949,18,-5.225063323974609
999,19,-5.256033420562744
1049,20,-5.282261371612549
1099,21,-5.287270545959473
1149,22,-5.312613010406494
1199,23,-5.3419880867004395
1249,24,-5.334685802459717
1299,25,-5.364373207092285
1349,26,-5.420912265777588
1399,27,-5.436744213104248
1449,28,-5.467012882232666
1499,29,-5.47073221206665
1549,30,-5.51186466217041
1599,31,-5.544908046722412
1649,32,-5.563958168029785
1699,33,-5.594101428985596
1749,34,-5.6095194816589355
1799,35,-5.609800338745117
1849,36,-5.651510715484619
1899,37,-5.682619094848633
1949,38,-5.71183967590332
1999,39,-5.735815048217773
2049,40,-5.757706165313721
2099,41,-5.793951511383057
2149,42,-5.798549175262451
2199,43,-5.818217754364014
2249,44,-5.822304725646973
2299,45,-5.83859395980835
2349,46,-5.840691566467285
2399,47,-5.848208427429199
2449,48,-5.850785732269287
2499,49,-5.853201866149902
