step,epoch,train_loss
49,0,-4.447174549102783
99,1,-4.60180139541626
149,2,-4.743101119995117
199,3,-4.825571060180664
249,4,-4.905991077423096
299,5,-4.951879978179932
349,6,-5.014603614807129
399,7,-5.028311729431152
449,8,-5.089176177978516
499,9,-5.134005069732666
549,10,-5.11467981338501
599,11,-5.108274459838867
649,12,-5.190060615539551
699,13,-5.208827495574951
749,14,-5.244393348693848
799,15,-5.265836715698242
849,16,-5.283304214477539
899,17,-5.294984340667725
949,18,-5.3133463859558105
999,19,-5.343846321105957
1049,20,-5.366454601287842
1099,21,-5.383936882019043
1149,22,-5.39498233795166
1199,23,-5.403080463409424
1249,24,-5.441049575805664
1299,25,-5.446533679962158
1349,26,-5.475712776184082
1399,27,-5.484461784362793
1449,28,-5.514692783355713
1499,29,-5.5302886962890625
1549,30,-5.547863006591797
1599,31,-5.549579620361328
1649,32,-5.568963050842285
1699,33,-5.583681106567383
1749,34,-5.600490093231201
1799,35,-5.635747909545898
1849,36,-5.641902923583984
1899,37,-5.648921966552734
1949,38,-5.672832012176514
1999,39,-5.687988758087158
2049,40,-5.696068286895752
2099,41,-5.713873863220215
2149,42,-5.723137378692627
2199,43,-5.736600875854492
2249,44,-5.728815078735352
2299,45,-5.727685451507568
2349,46,-5.729062080383301
2399,47,-5.73699951171875
2449,48,-5.745239734649658
2499,49,-5.753295421600342
