step,epoch,train_loss
49,0,-4.33762788772583
99,1,-4.531026840209961
149,2,-4.72963285446167
199,3,-4.836291313171387
249,4,-4.895082950592041
299,5,-4.983251094818115
349,6,-4.970020294189453
399,7,-5.064192771911621
449,8,-5.120391368865967
499,9,-5.136267185211182
549,10,-5.178133964538574
599,11,-5.221235275268555
649,12,-5.260447978973389
699,13,-5.294340133666992
749,14,-5.307662487030029
799,15,-5.340287685394287
849,16,-5.369280815124512
899,17,-5.419156074523926
949,18,-5.460577011108398
999,19,-5.458032608032227
1049,20,-5.5016889572143555
1099,21,-5.535181045532227
1149,22,-5.5773162841796875
1199,23,-5.602869987487793
1249,24,-5.645012855529785
1299,25,-5.643316268920898
1349,26,-5.689391613006592
1399,27,-5.728723049163818
1449,28,-5.750431060791016
1499,29,-5.769100189208984
1549,30,-5.801969528198242
1599,31,-5.833928108215332
1649,32,-5.857354164123535
1699,33,-5.8881049156188965
1749,34,-5.920206069946289
1799,35,-5.949176788330078
1849,36,-5.972372531890869
1899,37,-6.000712871551514
1949,38,-6.02871561050415
1999,39,-6.056025505065918
2049,40,-6.0722503662109375
2099,41,-6.098545551300049
2149,42,-6.124701976776123
2199,43,-6.1311726570129395
2249,44,-6.152644634246826
2299,45,-6.173355579376221
2349,46,-6.175359725952148
2399,47,-6.187732696533203
2449,48,-6.194498062133789
2499,49,-6.196582794189453
