step,epoch,train_loss
49,0,-4.342026233673096
99,1,-4.527896881103516
149,2,-4.729124069213867
199,3,-4.853598594665527
249,4,-4.952599048614502
299,5,-5.010406970977783
349,6,-5.096286773681641
399,7,-5.176193714141846
449,8,-5.1796183586120605
499,9,-5.1521525382995605
549,10,-5.242295742034912
599,11,-5.320662021636963
649,12,-5.360691547393799
699,13,-5.414794445037842
749,14,-5.450811862945557
799,15,-5.494707107543945
849,16,-5.510366439819336
899,17,-5.575827121734619
949,18,-5.578240871429443
999,19,-5.6342010498046875
1049,20,-5.678524971008301
1099,21,-5.682590484619141
1149,22,-5.754880428314209
1199,23,-5.798702239990234
1249,24,-5.793268203735352
1299,25,-5.856677055358887
1349,26,-5.9041290283203125
1399,27,-5.939883232116699
1449,28,-5.988813877105713
1499,29,-6.0338006019592285
1549,30,-6.057589054107666
1599,31,-6.1062116622924805
1649,32,-6.131646633148193
1699,33,-6.1753034591674805
1749,34,-6.200098991394043
1799,35,-6.255884170532227
1849,36,-6.292698383331299
1899,37,-6.321816921234131
1949,38,-6.362289905548096
1999,39,-6.407717704772949
2049,40,-6.440969944000244
2099,41,-6.466232776641846
2149,42,-6.501931190490723
2199,43,-6.511490345001221
2249,44,-6.543977737426758
2299,45,-6.565011978149414
2349,46,-6.564653396606445
2399,47,-6.5709147453308105
2449,48,-6.590000152587891
2499,49,-6.6025238037109375
