step,epoch,train_loss
49,0,-4.3337626457214355
99,1,-4.573980331420898
149,2,-4.706457614898682
199,3,-4.832727432250977
249,4,-4.901927947998047
299,5,-4.950533866882324
349,6,-4.987338066101074
399,7,-5.070014476776123
449,8,-5.110340595245361
499,9,-5.151055335998535
549,10,-5.187525749206543
599,11,-5.224509239196777
649,12,-5.2487053871154785
699,13,-5.2231669425964355
749,14,-5.303144931793213
799,15,-5.254359722137451
849,16,-5.388261318206787
899,17,-5.413274765014648
949,18,-5.4279375076293945
999,19,-5.456601142883301
1049,20,-5.484265327453613
1099,21,-5.537314414978027
1149,22,-5.504298686981201
1199,23,-5.5770158767700195
1249,24,-5.607324600219727
1299,25,-5.642849922180176
1349,26,-5.672158718109131
1399,27,-5.688711643218994
1449,28,-5.727700233459473
1499,29,-5.745882034301758
1549,30,-5.782456874847412
1599,31,-5.796767711639404
1649,32,-5.8314056396484375
1699,33,-5.8579511642456055
1749,34,-5.87995719909668
1799,35,-5.925839424133301
1849,36,-5.924379348754883
1899,37,-5.971576690673828
1949,38,-5.982089996337891
1999,39,-6.020367622375488
2049,40,-6.041022777557373
2099,41,-6.061685562133789
2149,42,-6.082263946533203
2199,43,-6.114849090576172
2249,44,-6.116156101226807
2299,45,-6.129056930541992
2349,46,-6.143218517303467
2399,47,-6.150326728820801
2449,48,-6.1562886238098145
2499,49,-6.1571807861328125
