step,epoch,train_loss
49,0,-4.427789211273193
99,1,-4.477510452270508
149,2,-4.555028915405273
199,3,-4.629273414611816
249,4,-4.697683334350586
299,5,-4.758170127868652
349,6,-4.808368682861328
399,7,-4.848909378051758
449,8,-4.897514820098877
499,9,-4.936036586761475
549,10,-4.9654765129089355
599,11,-4.987633228302002
649,12,-5.023263454437256
699,13,-5.0403571128845215
749,14,-5.068633556365967
799,15,-5.077613353729248
849,16,-5.101965427398682
899,17,-5.121173858642578
949,18,-5.134790420532227
999,19,-5.155768871307373
1049,20,-5.160219669342041
1099,21,-5.178116321563721
1149,22,-5.198078632354736
1199,23,-5.210936069488525
1249,24,-5.211666107177734
1299,25,-5.236038684844971
1349,26,-5.237199306488037
1399,27,-5.254288196563721
1449,28,-5.255087375640869
1499,29,-5.265005588531494
1549,30,-5.269021987915039
1599,31,-5.290091037750244
1649,32,-5.284637451171875
1699,33,-5.297003269195557
1749,34,-5.309999942779541
1799,35,-5.296475410461426
1849,36,-5.3104705810546875
1899,37,-5.320992946624756
1949,38,-5.3144612312316895
1999,39,-5.325799465179443
2049,40,-5.335665702819824
2099,41,-5.3356828689575195
2149,42,-5.339632511138916
2199,43,-5.3197526931762695
2249,44,-5.330019950866699
2299,45,-5.3396148681640625
2349,46,-5.339571475982666
2399,47,-5.340604305267334
2449,48,-5.340608596801758
2499,49,-5.351176063537598
