step,epoch,train_loss
49,0,-4.429170608520508
99,1,-4.481479167938232
149,2,-4.537854194641113
199,3,-4.6076178550720215
249,4,-4.70756196975708
299,5,-4.8115620613098145
349,6,-4.872118949890137
399,7,-4.93522310256958
449,8,-5.001001834869385
499,9,-5.039625644683838
549,10,-5.079172611236572
599,11,-5.106123447418213
649,12,-5.133143424987793
699,13,-5.165624618530273
749,14,-5.189232349395752
799,15,-5.1986565589904785
849,16,-5.217332363128662
899,17,-5.246153354644775
949,18,-5.263671398162842
999,19,-5.276059627532959
1049,20,-5.285611152648926
1099,21,-5.294595718383789
1149,22,-5.319674491882324
1199,23,-5.329402446746826
1249,24,-5.355157375335693
1299,25,-5.359994888305664
1349,26,-5.374853610992432
1399,27,-5.394803047180176
1449,28,-5.398388862609863
1499,29,-5.4101996421813965
1549,30,-5.421331405639648
1599,31,-5.436620712280273
1649,32,-5.451550483703613
1699,33,-5.447406768798828
1749,34,-5.4527587890625
1799,35,-5.468521595001221
1849,36,-5.4731950759887695
1899,37,-5.473562717437744
1949,38,-5.468564510345459
1999,39,-5.474514961242676
2049,40,-5.488377094268799
2099,41,-5.483731269836426
2149,42,-5.490850448608398
2199,43,-5.491025447845459
2249,44,-5.497884750366211
2299,45,-5.488050937652588
2349,46,-5.49079704284668
2399,47,-5.4976043701171875
2449,48,-5.490163803100586
2499,49,-5.495527744293213
