step,epoch,train_loss
49,0,-3.6778125762939453
99,1,-4.343081474304199
149,2,-4.41804313659668
199,3,-4.438265323638916
249,4,-4.557062149047852
299,5,-4.519260406494141
349,6,-4.625128269195557
399,7,-4.63800573348999
449,8,-4.701147556304932
499,9,-4.735206127166748
549,10,-4.776371955871582
599,11,-4.780345916748047
649,12,-4.796765327453613
699,13,-4.849275588989258
749,14,-4.84642219543457
799,15,-4.904609203338623
849,16,-4.882689952850342
899,17,-4.953111171722412
949,18,-4.95688009262085
999,19,-4.987087249755859
1049,20,-4.972083568572998
1099,21,-5.029837131500244
1149,22,-5.053138732910156
1199,23,-5.062942981719971
1249,24,-5.100912570953369
1299,25,-5.094354152679443
1349,26,-5.142026424407959
1399,27,-5.137677192687988
1449,28,-5.166379928588867
1499,29,-5.189406871795654
1549,30,-5.216386795043945
1599,31,-5.226318359375
1649,32,-5.243447303771973
1699,33,-5.251635551452637
1749,34,-5.272670745849609
1799,35,-5.307130813598633
1849,36,-5.300555229187012
1899,37,-5.3249945640563965
1949,38,-5.349569797515869
1999,39,-5.365172863006592
2049,40,-5.381731033325195
2099,41,-5.411474227905273
2149,42,-5.423600673675537
2199,43,-5.431539535522461
2249,44,-5.447353363037109
2299,45,-5.453073024749756
2349,46,-5.460781097412109
2399,47,-5.4540019035339355
2449,48,-5.478400230407715
2499,49,-5.479471206665039
