step,epoch,train_loss
49,0,-4.329695224761963
99,1,-4.523290634155273
149,2,-4.7076029777526855
199,3,-4.825596809387207
249,4,-4.921367645263672
299,5,-4.994219779968262
349,6,-5.06038761138916
399,7,-5.078829765319824
449,8,-5.11425256729126
499,9,-5.19420051574707
549,10,-5.2365875244140625
599,11,-5.2541961669921875
649,12,-5.301620006561279
699,13,-5.356529712677002
749,14,-5.37827205657959
799,15,-5.434257984161377
849,16,-5.462365627288818
899,17,-5.477290630340576
949,18,-5.52884578704834
999,19,-5.580748081207275
1049,20,-5.606832981109619
1099,21,-5.670903205871582
1149,22,-5.691802978515625
1199,23,-5.734917640686035
1249,24,-5.788631439208984
1299,25,-5.8202128410339355
1349,26,-5.83535623550415
1399,27,-5.910717964172363
1449,28,-5.941644191741943
1499,29,-5.977074146270752
1549,30,-6.029346942901611
1599,31,-6.064661979675293
1649,32,-6.0959153175354
1699,33,-6.149048328399658
1749,34,-6.175580024719238
1799,35,-6.217163562774658
1849,36,-6.261001110076904
1899,37,-6.2984843254089355
1949,38,-6.329334735870361
1999,39,-6.37436580657959
2049,40,-6.412792205810547
2099,41,-6.4461140632629395
2149,42,-6.475921630859375
2199,43,-6.510123252868652
2249,44,-6.530303478240967
2299,45,-6.5480756759643555
2349,46,-6.563333511352539
2399,47,-6.581578254699707
2449,48,-6.588047981262207
2499,49,-6.597699165344238
