step,epoch,train_loss
49,0,-4.425093173980713
99,1,-4.484951496124268
149,2,-4.542553901672363
199,3,-4.661965847015381
249,4,-4.740890979766846
299,5,-4.798659324645996
349,6,-4.862544059753418
399,7,-4.91086483001709
449,8,-4.9590840339660645
499,9,-5.013200283050537
549,10,-5.030351161956787
599,11,-5.068857669830322
649,12,-5.097491264343262
699,13,-5.124939441680908
749,14,-5.127192974090576
799,15,-5.151794910430908
849,16,-5.175851821899414
899,17,-5.193160533905029
949,18,-5.205141544342041
999,19,-5.2181477546691895
1049,20,-5.2299699783325195
1099,21,-5.245750904083252
1149,22,-5.2634968757629395
1199,23,-5.2660040855407715
1249,24,-5.298342704772949
1299,25,-5.303752422332764
1349,26,-5.309062480926514
1399,27,-5.335338115692139
1449,28,-5.339167594909668
1499,29,-5.347839832305908
1549,30,-5.35630989074707
1599,31,-5.362205982208252
1649,32,-5.373841762542725
1699,33,-5.369225978851318
1749,34,-5.38076114654541
1799,35,-5.396846294403076
1849,36,-5.4015326499938965
1899,37,-5.404150009155273
1949,38,-5.404399871826172
1999,39,-5.417856216430664
2049,40,-5.406477451324463
2099,41,-5.409360408782959
2149,42,-5.414522171020508
2199,43,-5.416381359100342
2249,44,-5.405505180358887
2299,45,-5.425872802734375
2349,46,-5.429414749145508
2399,47,-5.4314446449279785
2449,48,-5.4237494468688965
2499,49,-5.419600963592529
