step,epoch,train_loss
49,0,-4.420202255249023
99,1,-4.54035758972168
149,2,-4.6983232498168945
199,3,-4.855822563171387
249,4,-4.94373893737793
299,5,-5.019050598144531
349,6,-5.1014723777771
399,7,-5.136280536651611
449,8,-5.21030330657959
499,9,-5.259778022766113
549,10,-5.277468681335449
599,11,-5.317991256713867
649,12,-5.340598106384277
699,13,-5.368580341339111
749,14,-5.430526256561279
799,15,-5.433775424957275
849,16,-5.483248233795166
899,17,-5.473834991455078
949,18,-5.525404453277588
999,19,-5.5401763916015625
1049,20,-5.577259063720703
1099,21,-5.563045024871826
1149,22,-5.624645233154297
1199,23,-5.625117301940918
1249,24,-5.650144100189209
1299,25,-5.678981304168701
1349,26,-5.687798500061035
1399,27,-5.713873863220215
1449,28,-5.750100612640381
1499,29,-5.759862899780273
1549,30,-5.794389247894287
1599,31,-5.799233436584473
1649,32,-5.832403659820557
1699,33,-5.8503804206848145
1749,34,-5.856034755706787
1799,35,-5.879010200500488
1849,36,-5.900722503662109
1899,37,-5.930179595947266
1949,38,-5.940911769866943
1999,39,-5.957794189453125
2049,40,-5.97513484954834
2099,41,-5.9800543785095215
2149,42,-5.995480537414551
2199,43,-6.010211944580078
2249,44,-6.018013954162598
2299,45,-6.016727447509766
2349,46,-6.018102645874023
2399,47,-6.025373458862305
2449,48,-6.034473896026611
2499,49,-6.017946720123291
