step,epoch,train_loss
49,0,-4.406818389892578
99,1,-4.543402194976807
149,2,-4.718940258026123
199,3,-4.846146583557129
249,4,-4.951927185058594
299,5,-5.020563125610352
349,6,-5.050146102905273
399,7,-5.125189781188965
449,8,-5.191891670227051
499,9,-5.1891984939575195
549,10,-5.250919342041016
599,11,-5.285179615020752
649,12,-5.29524040222168
699,13,-5.361641883850098
749,14,-5.384296417236328
799,15,-5.397439479827881
849,16,-5.433559417724609
899,17,-5.4659037590026855
949,18,-5.475518703460693
999,19,-5.49600887298584
1049,20,-5.525998115539551
1099,21,-5.542868614196777
1149,22,-5.559798717498779
1199,23,-5.591021537780762
1249,24,-5.609625816345215
1299,25,-5.6407246589660645
1349,26,-5.6588850021362305
1399,27,-5.670698642730713
1449,28,-5.694920063018799
1499,29,-5.7057294845581055
1549,30,-5.73735237121582
1599,31,-5.753056049346924
1649,32,-5.771979331970215
1699,33,-5.790328502655029
1749,34,-5.820099353790283
1799,35,-5.839885234832764
1849,36,-5.856514930725098
1899,37,-5.873935699462891
1949,38,-5.903267860412598
1999,39,-5.916790008544922
2049,40,-5.921691417694092
2099,41,-5.942514419555664
2149,42,-5.953805923461914
2199,43,-5.962657928466797
2249,44,-5.965234756469727
2299,45,-5.965693473815918
2349,46,-5.977529525756836
2399,47,-5.976344108581543
2449,48,-5.980198860168457
2499,49,-5.984150409698486
