step,epoch,train_loss
49,0,-4.331716060638428
99,1,-4.555440425872803
149,2,-4.685101509094238
199,3,-4.809755325317383
249,4,-4.874034881591797
299,5,-4.95255184173584
349,6,-4.937719345092773
399,7,-5.039006233215332
449,8,-5.081652641296387
499,9,-5.0545759201049805
549,10,-5.128032684326172
599,11,-5.150720119476318
649,12,-5.193824291229248
699,13,-5.137704372406006
749,14,-5.231890678405762
799,15,-5.2712016105651855
849,16,-5.309100151062012
899,17,-5.2707839012146
949,18,-5.34640645980835
999,19,-5.366684436798096
1049,20,-5.358694076538086
1099,21,-5.413506507873535
1149,22,-5.452373027801514
1199,23,-5.455955982208252
1249,24,-5.505555629730225
1299,25,-5.534275054931641
1349,26,-5.527329921722412
1399,27,-5.55003547668457
1449,28,-5.5492167472839355
1499,29,-5.619359016418457
1549,30,-5.6236653327941895
1599,31,-5.651458263397217
1649,32,-5.672215461730957
1699,33,-5.70924186706543
1749,34,-5.732912063598633
1799,35,-5.764151573181152
1849,36,-5.78072452545166
1899,37,-5.783427715301514
1949,38,-5.801990985870361
1999,39,-5.842455863952637
2049,40,-5.861386299133301
2099,41,-5.869869232177734
2149,42,-5.891282558441162
2199,43,-5.9062066078186035
2249,44,-5.921728610992432
2299,45,-5.927025318145752
2349,46,-5.930502891540527
2399,47,-5.95564079284668
2449,48,-5.944119453430176
2499,49,-5.947928428649902
