step,train_loss,epoch
49,-4.070150375366211,0
99,-4.1513872146606445,1
149,-4.299915313720703,2
199,-4.496499061584473,3
249,-4.768967151641846,4
299,-5.002710342407227,5
349,-5.186909198760986,6
399,-5.364639759063721,7
449,-5.509235858917236,8
499,-5.604992866516113,9
549,-5.767762660980225,10
599,-5.829946994781494,11
649,-5.960721015930176,12
699,-6.0243964195251465,13
749,-6.108954429626465,14
799,-6.162347316741943,15
849,-6.250320911407471,16
899,-6.276374340057373,17
949,-6.33966064453125,18
999,-6.390439987182617,19
1049,-6.425323486328125,20
1099,-6.474112510681152,21
1149,-6.505915641784668,22
1199,-6.543355941772461,23
1249,-6.5799102783203125,24
1299,-6.594410419464111,25
1349,-6.634038925170898,26
1399,-6.685009956359863,27
1449,-6.6861042976379395,28
1499,-6.746969223022461,29
1549,-6.71658182144165,30
1599,-6.779971122741699,31
1649,-6.8299970626831055,32
1699,-6.800607681274414,33
1749,-6.860836982727051,34
1799,-6.844597816467285,35
1849,-6.856059551239014,36
1899,-6.900282382965088,37
1949,-6.926268100738525,38
1999,-6.958878040313721,39
2049,-6.966561794281006,40
2099,-6.981732368469238,41
2149,-7.012063503265381,42
2199,-6.967418670654297,43
2249,-7.020430088043213,44
2299,-7.055852890014648,45
2349,-7.024794101715088,46
2399,-7.068281173706055,47
2449,-7.091726779937744,48
2499,-7.082412242889404,49
