step,epoch,train_loss
49,0,-3.877891778945923
99,1,-4.378025054931641
149,2,-4.464111804962158
199,3,-4.538568496704102
249,4,-4.617098808288574
299,5,-4.6872687339782715
349,6,-4.736695766448975
399,7,-4.775466442108154
449,8,-4.772892951965332
499,9,-4.8787455558776855
549,10,-4.941718578338623
599,11,-4.998461723327637
649,12,-5.007266044616699
699,13,-5.052338600158691
749,14,-5.0109543800354
799,15,-5.084698677062988
849,16,-5.09262228012085
899,17,-5.140974521636963
949,18,-5.158985137939453
999,19,-5.187163829803467
1049,20,-5.206135272979736
1099,21,-5.161989212036133
1149,22,-5.251632213592529
1199,23,-5.283778190612793
1249,24,-5.290150165557861
1299,25,-5.340040683746338
1349,26,-5.358548641204834
1399,27,-5.382226467132568
1449,28,-5.4038896560668945
1499,29,-5.437055587768555
1549,30,-5.441198825836182
1599,31,-5.475239276885986
1649,32,-5.485576152801514
1699,33,-5.515203475952148
1749,34,-5.536188125610352
1799,35,-5.516580104827881
1849,36,-5.57275390625
1899,37,-5.599803447723389
1949,38,-5.637459754943848
1999,39,-5.662408351898193
2049,40,-5.671107292175293
2099,41,-5.695852279663086
2149,42,-5.711399078369141
2199,43,-5.733756065368652
2249,44,-5.735067367553711
2299,45,-5.741510391235352
2349,46,-5.74456787109375
2399,47,-5.7399582862854
2449,48,-5.75019645690918
2499,49,-5.755891799926758
