step,epoch,train_loss
49,0,-3.561793327331543
99,1,-4.349338531494141
149,2,-4.44776725769043
199,3,-4.545085906982422
249,4,-4.609098434448242
299,5,-4.533846855163574
349,6,-4.654150009155273
399,7,-4.715061664581299
449,8,-4.752939224243164
499,9,-4.803521633148193
549,10,-4.8621416091918945
599,11,-4.875005722045898
649,12,-4.948136806488037
699,13,-4.929029941558838
749,14,-4.971172332763672
799,15,-5.044458389282227
849,16,-5.084341526031494
899,17,-5.06352424621582
949,18,-5.1067376136779785
999,19,-5.126270294189453
1049,20,-5.162602424621582
1099,21,-5.152182579040527
1149,22,-5.212072849273682
1199,23,-5.239789962768555
1249,24,-5.1956682205200195
1299,25,-5.253391265869141
1349,26,-5.3250555992126465
1399,27,-5.343480110168457
1449,28,-5.3569016456604
1499,29,-5.362186908721924
1549,30,-5.3770432472229
1599,31,-5.401426792144775
1649,32,-5.421065807342529
1699,33,-5.451810359954834
1749,34,-5.471907138824463
1799,35,-5.510922431945801
1849,36,-5.49778938293457
1899,37,-5.526422023773193
1949,38,-5.573362350463867
1999,39,-5.585749626159668
2049,40,-5.6028594970703125
2099,41,-5.631402015686035
2149,42,-5.645569324493408
2199,43,-5.661618232727051
2249,44,-5.671945095062256
2299,45,-5.6903533935546875
2349,46,-5.689248085021973
2399,47,-5.698031425476074
2449,48,-5.703774929046631
2499,49,-5.706839084625244
